launch_time,title,vehicle,launch_site,return_site,mission_type,status,return_time,link
2025-01-21T00:24:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-13-1
2025-01-21T07:45:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-8
2025-01-24T06:07:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-6
2025-01-27T17:05:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-7
2025-01-29T20:34:00Z,SpainSat NG I Mission,Falcon 9,"LC-39A, Florida",Expended,commercialSatellite,final,,spainsatng1
2025-02-01T15:02:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-4
2025-02-04T05:15:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-3
2025-02-04T18:07:00Z,Maxar 3 Mission,Falcon 9,"LC-39A, Florida",Landing Zone,commercialSatellite,final,,maxar3
2025-02-08T14:18:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-9
2025-02-10T18:09:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-10
2025-02-11T13:53:00Z,STARLINK MISSION,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-18
2025-02-15T01:14:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-8
2025-02-18T18:21:00Z,STARLINK MISSION,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-12
2025-02-21T10:19:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-14
2025-02-22T17:38:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-1
2025-02-26T19:17:00Z,IM-2 MISSION,Falcon 9,"LC-39A, Florida",Droneship,science,final,,im-2
2025-02-26T22:34:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-13
2025-03-02T21:24:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-20
2025-03-06T17:30:00Z,Starship's Eighth Flight Test,Starship,"Pad 1, Starbase",Mechazilla,starship,final,,starship-flight-8
2025-03-11T20:10:00Z,SPHEREx Mission,Falcon 9,"SLC-4E, California",Landing Zone,science,final,,spherex
2025-03-12T22:35:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-21
2025-03-14T19:03:00Z,CREW-10 MISSION,Falcon 9,"LC-39A, Florida",Landing Zone,hsf,final,"August 9, 2025",crew10
2025-03-14T23:39:00Z,Transporter-13 Mission,Falcon 9,"SLC-4E, California",Landing Zone,rideshare,final,,transporter13
2025-03-15T07:35:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-16
2025-03-18T15:57:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-25
2025-03-20T23:49:00Z,NROL-57 Mission,Falcon 9,"SLC-4E, California",Landing Zone,nssl,final,,nrol57
2025-03-24T13:48:00Z,NROL-69 Mission,Falcon 9,"SLC-40, Florida",Landing Zone,nssl,final,,nrol69
2025-03-26T15:11:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-7
2025-03-31T15:52:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-80
2025-03-31T21:46:00Z,FRAM2 MISSION,Falcon 9,"LC-39A, Florida",Droneship,hsf,final,,fram2
2025-04-03T18:02:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-13
2025-04-05T23:07:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-72
2025-04-07T16:06:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-11
2025-04-12T05:25:00Z,NROL-192 Mission,Falcon 9,"SLC-4E, California",Droneship,nssl,final,,nrol192
2025-04-12T20:53:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-12-17
2025-04-14T00:00:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-73
2025-04-20T05:29:00Z,NROL-145 Mission,Falcon 9,"SLC-4E, California",Droneship,nssl,final,,nrol145
2025-04-21T04:15:00Z,CRS-32 Mission,Falcon 9,"LC-39A, Florida",Landing Zone,resupply,final,,crs-32
2025-04-21T20:48:00Z,Bandwagon-3 Mission,Falcon 9,"SLC-40, Florida",Landing Zone,rideshare,final,,bandwagon-3
2025-04-24T21:52:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-74
2025-04-27T22:09:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-23
2025-04-28T13:42:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-11-9
2025-04-28T22:34:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-12-10
2025-05-01T21:51:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-75
2025-05-04T04:54:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-6-84
2025-05-06T21:17:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-93
2025-05-09T17:19:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-3
2025-05-10T02:28:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-91
2025-05-12T18:15:00Z,STARLINK MISSION,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-4
2025-05-13T01:02:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-6-83
2025-05-14T12:38:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-67
2025-05-16T06:43:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-5
2025-05-20T23:19:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-15
2025-05-23T15:32:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-16
2025-05-24T13:19:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-22
2025-05-27T09:57:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-1
2025-05-27T18:36:00Z,Starship's Ninth Flight Test,Starship,"Pad 1, Starbase",Expended,starship,final,,starship-flight-9
2025-05-28T09:30:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-10-32
2025-05-30T13:37:00Z,GPS III-7 Mission,Falcon 9,"SLC-40, Florida",Droneship,nssl,final,,gpsiii7
2025-05-31T13:10:00Z,STARLINK MISSION,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-18
2025-06-03T00:43:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-19
2025-06-04T16:40:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-22
2025-06-07T00:24:00Z,SXM-10 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,sxm10
2025-06-08T07:20:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-8
2025-06-10T09:05:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-24
2025-06-12T18:54:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-6
2025-06-13T11:29:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-12-26
2025-06-16T20:36:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-9
2025-06-18T01:55:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-18
2025-06-23T01:58:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-23
2025-06-23T14:19:00Z,Transporter-14 Mission,Falcon 9,"SLC-4E, California",Droneship,rideshare,final,,transporter14
2025-06-25T02:31:00Z,AX-4 MISSION,Falcon 9,"LC-39A, Florida",Landing Zone,hsf,final,,ax4
2025-06-25T15:54:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-16
2025-06-28T00:26:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-34
2025-06-28T10:13:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-15-7
2025-07-01T17:03:00Z,MTG-S1 Mission,Falcon 9,"LC-39A, Florida",Droneship,commercialSatellite,final,,mtgs1
2025-07-02T02:28:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-25
2025-07-08T04:21:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-28
2025-07-13T01:04:00Z,Commercial GTO-1 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,commercial-gto-1
2025-07-15T19:05:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-2
2025-07-16T02:30:00Z,KF-01 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,kf-01
2025-07-18T20:52:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-3
2025-07-22T17:12:00Z,O3b mPOWER Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,mpower-d
2025-07-23T11:13:00Z,TRACERS Mission,Falcon 9,"SLC-4E, California",Landing Zone,science,final,,tracers
2025-07-26T05:01:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-26
2025-07-26T19:09:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-2
2025-07-29T23:37:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-29
2025-07-31T11:35:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-13-4
2025-08-01T11:43:00Z,Crew-11 Mission,Falcon 9,"LC-39A, Florida",Landing Zone,hsf,final,,crew11
2025-08-04T03:57:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-30
2025-08-11T08:35:00Z,KF-02 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,kf-02
2025-08-13T22:05:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-4
2025-08-14T08:29:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-20
2025-08-18T09:26:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-5
2025-08-21T23:50:00Z,USSF-36 Mission,Falcon 9,"LC-39A, Florida",Landing Zone,nssl,final,,ussf36
