code,name,date,time,subject,clause,happened,body
6116,彩晶,1150911,140701,代重要子公司Hannspirit(BVI) Holding Limited公告 唯一法人股東改派董事,第6款,1150911,"1.發生變動日期:115/09/11
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
或自然人監察人）:自然人董事
3.舊任者職稱及姓名:董事/陳盛中
4.舊任者簡歷:Hannspirit(BVI) Holding Limited董事
5.新任者職稱及姓名:董事/陳沛瀅
6.新任者簡歷:瀚宇彩晶股份有限公司協理
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:解任
8.異動原因:改派
9.新任者選任時持股數:不適用
10.原任期（例xx/xx/xx ~ xx/xx/xx）:不適用
11.新任生效日期:115/09/11
12.同任期董事變動比率:1/3
13.同任期獨立董事變動比率:不適用
14.同任期監察人變動比率:不適用
15.屬三分之一以上董事發生變動（請輸入是或否）:是
16.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):無"
6116,彩晶,1150911,140729,代子公司Brightpro Resources Limited公告唯一法人股東 改派董事,第6款,1150911,"1.發生變動日期:115/09/11
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
或自然人監察人）:自然人董事
3.舊任者職稱及姓名:董事/陳盛中
4.舊任者簡歷:Brightpro Resources Limited董事
5.新任者職稱及姓名:董事/陳沛瀅
6.新任者簡歷:瀚宇彩晶股份有限公司協理
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:解任
8.異動原因:改派
9.新任者選任時持股數:不適用
10.原任期（例xx/xx/xx ~ xx/xx/xx）:不適用
11.新任生效日期:115/09/11
12.同任期董事變動比率:1/3
13.同任期獨立董事變動比率:不適用
14.同任期監察人變動比率:不適用
15.屬三分之一以上董事發生變動（請輸入是或否）:是
16.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):無"
6116,彩晶,1150911,140819,公告本公司總經理異動,第6款,1150911,"1.董事會決議日期或發生變動日期:115/09/11
2.人員別（請輸入董事長或總經理）:總經理
3.舊任者姓名:陳盛中
4.舊任者簡歷:瀚宇彩晶股份有限公司總經理
5.新任者姓名:焦佑麒(暫代)
6.新任者簡歷:瀚宇彩晶股份有限公司董事長
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、
「退休」、「逝世」或「新任」）:辭職
8.異動原因:辭職
9.新任生效日期:不適用
10.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):
新任者待董事會通過任命後另行公告。"
6116,彩晶,1150911,140909,公告本公司資安長異動,第8款,1150911,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運長、
行銷長及策略長等)、財務主管、會計主管、公司治理主管、資訊安全長、研發主管、
內部稽核主管或訴訟及非訟代理人）:資訊安全長
2.發生變動日期:115/09/11
3.舊任者姓名、級職及簡歷:陳盛中/瀚宇彩晶股份有限公司總經理
4.新任者姓名、級職及簡歷:邱博興/瀚宇彩晶股份有限公司副總經理
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:辭職
6.異動原因:辭職
7.生效日期:115/09/11
8.其他應敘明事項:無"
8011,台通,1150911,142233,本公司公司治理主管異動,第8款,1150911,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運長、
行銷長及策略長等)、財務主管、會計主管、公司治理主管、資訊安全長、研發主管、
內部稽核主管或訴訟及非訟代理人）:公司治理主管
2.發生變動日期:115/09/11
3.舊任者姓名、級職及簡歷:陳青繡/公司治理室經理/台通光電(股)公司 公司治理主管
4.新任者姓名、級職及簡歷:丁思方/財務部資深經理/台通光電(股)公司 會計主管
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:辭職
6.異動原因:個人生涯規劃
7.生效日期:115/09/30
8.其他應敘明事項:新任者將提最近一期董事會通過"
1529,樂事綠能,1150911,142816,公告本公司115年現金增資收足股款暨增資基準日。,第51款,1150911,"1.事實發生日:115/09/11
2.公司名稱:樂事綠能科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:依據「發行人募集與發行有價證券處理準則」規定辦理公告。
6.因應措施:無。
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):
(1)本公司115年現金增資發行普通股40,000仟股，每股認購價格新台幣14元，實收
股款總額新台幣560,000仟元，業已全數收足。
(2)本公司訂定115年9月11日為現金增資基準日。
(3)預定股款繳納憑證上市日期為115年9月16日。"
6863,永道-KY,1150911,143033,本公司受邀參加群益金鼎證券舉辦之法人說明會,第12款,1150921,"符合條款第四條第XX款：12
事實發生日：115/09/21
1.召開法人說明會之日期：115/09/21
2.召開法人說明會之時間：14 時 00 分
3.召開法人說明會之地點：群益金鼎證券忠孝分公司(台北市大安區忠孝東路四段87號15樓)
4.法人說明會擇要訊息：本公司受邀參加群益金鼎證券舉辦之法人說明會，說明2026年度第二季營運結果
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
6715,嘉基,1150911,143710,公告本公司115年現金增資收足股款暨增資基準日,第51款,1150911,"1.事實發生日:115/09/11
2.公司名稱:嘉基科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:本公司辦理115年現金增資發行新股6,000,000股，
每股認購價格新臺幣310元，實收股款總額新臺幣1,860,000,000元，
業已全數收足，並訂115年9月11日為增資基準日。
6.因應措施:無。
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):
預定股款繳納憑證上市日期為115年9月16日。"
7722,LINEPAY,1150911,144844,公告本公司董事會決議員工認股權憑證轉換普通股增資基準日,第11款,1150911,"1.董事會決議日期:115/09/11
2.增資資金來源:員工認股權憑證執行轉換
3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否
4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):
不適用
5.採總括申報發行新股案件，本次發行金額及股數:不適用
6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用
7.每股面額:新台幣10元
8.發行價格:每股認購價格新台幣99.6元
9.員工認購股數或配發金額:215,900股
10.公開銷售股數:不適用
11.原股東認購或無償配發比例:不適用
12.畸零股及逾期未認購股份之處理方式:不適用
13.本次發行新股之權利義務:與原發行普通股相同
14.本次增資資金用途:員工認股權憑證執行轉換
15.現金減資後再行募資之合理性及必要性
(募資當年度及前一年度有辦理現金減資者適用):不適用
16.其他應敘明事項:
(1) 本次員工認股權憑證轉換普通股之增資基準日訂為115年9月30日，
並依法令規定辦理相關變更登記事宜。
(2) 變更後公司實收資本額為716,159,000元，計71,615,900股。"
7722,LINEPAY,1150911,144902,代重要子公司連加電子支付(股)公司公告通過財務主管任命案,第8款,1150911,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運長、
行銷長及策略長等)、財務主管、會計主管、公司治理主管、資訊安全長、研發主管、
內部稽核主管或訴訟及非訟代理人）:財務主管
2.發生變動日期:115/09/11
3.舊任者姓名、級職及簡歷:無
4.新任者姓名、級職及簡歷:胡雅菁/連加電子支付(股)公司會計主管
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:新任
6.異動原因:新任
7.生效日期:115/09/11
8.其他應敘明事項:董事會已於115/09/11通過胡雅菁小姐之財務主管任命案"
4142,國光生,1150911,145025,本公司受邀參加台新證券舉辦法人說明會,第12款,1150916,"符合條款第四條第XX款：12
事實發生日：115/09/16
1.召開法人說明會之日期：115/09/16
2.召開法人說明會之時間：14 時 30 分
3.召開法人說明會之地點：台北市中山區建國北路一段96號12樓
4.法人說明會擇要訊息：本公司受邀參加台新證券舉辦法人說明會
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
2849,安泰銀,1150911,145521,公告本公司法人董事代表異動,第6款,1150911,"1.發生變動日期:115/09/11
2.法人名稱:宏偉建設股份有限公司
3.舊任者姓名:葉孟恆
4.舊任者簡歷:宏泰企業機構總管理處專員
5.新任者姓名:李文柱
6.新任者簡歷:群益金鼎證券股份有限公司專門委員
7.異動原因:改派
8.原任期（例xx/xx/xx至xx/xx/xx）:114/06/13 至117/06/12
9.新任生效日期:115/09/11
10.其他應敘明事項:本公司於115年9月11日接獲法人董事宏偉建設股份有限公司
改派李文柱先生為其行使本公司董事職務之代表人，並自即日起生效。"
2892,第一金,1150911,150344,公告本公司暨主要子公司115年8月份自結合併盈餘數,第51款,1150911,"1.事實發生日:115/09/11
2.公司名稱:第一金融控股股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:100%
5.發生緣由:同主旨
6.因應措施:無
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):
-------------本月自結盈餘 累計自結盈餘 累計EPS
------------- 稅前 稅後 稅前 稅後 稅後
單 位 (億元) (億元) (億元) (億元) (元)
--------------------------------------------------------------
第一金控 33.67 29.13 285.02 238.50 1.66
第一銀行 28.21 24.52 252.88 211.10 1.68
第一金證券 2.62 2.23 20.53 17.54 2.54
第一金人壽 0.91 0.71 7.37 6.64 0.97
-------------------------------------------------------------
註：累計1-8月不含外匯價格變動準備金之EPS(元)
第一金控：1.67
第一金人壽：1.25"
6213,聯茂,1150911,150602,本公司受邀參加兆豐證券2026Q3產業論壇,第12款,1150915,"符合條款第四條第XX款：12
事實發生日：115/09/15
1.召開法人說明會之日期：115/09/15
2.召開法人說明會之時間：13 時 00 分
3.召開法人說明會之地點：兆豐證券總公司(台北市中正區忠孝東路二段95號13F)
4.法人說明會擇要訊息：本公司將於2026/09/15參加兆豐證券舉辦之""2026Q3產業論壇""，
就本公司已公布之經營績效等相關資訊做說明。
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
